Date,AAPL,ADBE,AMZN,CRM,GOOGL,INTC,META,MSFT,NVDA,ORCL
2023-10-26,164.956787109375,514.280029296875,119.56999969482422,193.8941192626953,121.27764129638672,31.985048294067383,286.3497619628906,321.68438720703125,40.297821044921875,97.9512939453125
2023-10-27,166.2713623046875,508.1199951171875,127.73999786376953,194.2103271484375,121.16853332519531,34.95536804199219,294.671630859375,323.5680236816406,40.47169494628906,98.52689361572266
2023-10-30,168.3173828125,526.9400024414062,132.7100067138672,196.87789916992188,123.43977355957031,35.10289764404297,300.5605163574219,330.9261169433594,41.132240295410156,99.17080688476562
2023-10-31,168.79185485839844,532.0599975585938,133.08999633789062,198.41917419433594,123.06289672851562,35.89958190917969,299.18011474609375,331.7109375,40.75149917602539,100.87812042236328
2023-11-01,171.9547576904297,544.5,137.0,201.462158203125,125.41345977783203,36.67658233642578,309.686767578125,339.5203552246094,42.29542922973633,103.17081451416016
2023-11-02,175.5130615234375,558.7100219726562,138.07000732421875,205.61175537109375,126.44493865966797,37.079837799072266,308.7135314941406,341.7277526855469,43.47560119628906,104.26348876953125
2023-11-03,174.6036834716797,563.6599731445312,138.60000610351562,204.97943115234375,128.04176330566406,37.51259994506836,312.41766357421875,346.1229248046875,44.97355270385742,105.41472625732422
2023-11-06,177.15382385253906,565.4500122070312,139.74000549316406,204.93002319335938,129.1822967529297,37.44845962524414,313.6093444824219,349.7823486328125,45.71903991699219,106.44886016845703
2023-11-07,179.7138214111328,585.2000122070312,142.7100067138672,209.29698181152344,129.8964080810547,38.257625579833984,316.6083984375,353.7066955566406,45.92289352416992,106.331787109375
2023-11-08,180.7714385986328,585.3099975585938,142.0800018310547,208.93142700195312,130.75930786132812,37.418853759765625,317.5617370605469,356.3261413574219,46.54145812988281,109.59031677246094
2023-11-09,180.2969970703125,577.739990234375,140.60000610351562,207.4889678955078,129.17239379882812,37.30044174194336,318.3263854980469,353.8636474609375,46.91719436645508,109.4439926147461
2023-11-10,184.48350524902344,597.219970703125,143.55999755859375,211.0655059814453,131.50311279296875,38.346431732177734,326.4893493652344,362.6736755371094,48.30122375488281,110.31227111816406
2023-11-13,182.89993286132812,590.3400268554688,142.58999633789062,212.6956787109375,131.00721740722656,37.724754333496094,326.90643310546875,359.7402648925781,48.586021423339844,111.3659439086914
2023-11-14,185.51278686523438,604.3300170898438,145.8000030517578,218.5248565673828,132.524658203125,38.88916015625,333.9770202636719,363.2622985839844,49.62131118774414,113.26837158203125
2023-11-15,186.07693481445312,595.3099975585938,143.1999969482422,216.78598022460938,133.51649475097656,40.073307037353516,330.40203857421875,363.4097595214844,48.85383605957031,111.27812194824219
2023-11-16,187.75946044921875,602.0599975585938,142.8300018310547,218.7916259765625,135.80755615234375,42.777095794677734,331.8717956542969,369.7997131347656,49.445430755615234,111.87326049804688
2023-11-17,187.73968505859375,602.6599731445312,145.17999267578125,218.56439208984375,134.20082092285156,43.231014251708984,332.71588134765625,363.5867919921875,49.263553619384766,112.54641723632812
2023-11-20,189.4815673828125,612.7000122070312,146.1300048828125,222.42747497558594,135.1331329345703,44.14872360229492,337.6116943359375,371.0482482910156,50.373779296875,114.06837463378906
2023-11-21,188.6798858642578,610.989990234375,143.89999389648438,221.627197265625,135.8472442626953,43.063262939453125,334.6424560546875,366.75225830078125,49.90909957885742,113.2488784790039
2023-11-22,189.343017578125,619.719970703125,146.7100067138672,221.15293884277344,137.3547821044922,43.09286117553711,339.12109375,371.4512939453125,48.68195724487305,113.40496063232422
2023-11-24,188.0167999267578,619.4299926757812,146.74000549316406,221.68643188476562,135.5695343017578,43.3790283203125,335.88372802734375,371.0383605957031,47.74261474609375,113.41472625732422
2023-11-27,187.83863830566406,619.27001953125,147.72999572753906,222.0915069580078,135.2918243408203,43.49745178222656,332.3782653808594,372.1983947753906,48.208290100097656,113.62934112548828
2023-11-28,188.4423370361328,623.3200073242188,147.02999877929688,222.21995544433594,136.07533264160156,43.64546585083008,336.6384582519531,376.21917724609375,47.78758239746094,113.40496063232422
2023-11-29,187.42295837402344,617.3900146484375,146.32000732421875,227.58480834960938,133.8834686279297,44.3460807800293,329.8956298828125,372.434326171875,48.106361389160156,113.37570190429688
2023-11-30,187.99697875976562,611.010009765625,146.08999633789062,248.8760986328125,131.44361877441406,44.1092529296875,324.8806457519531,372.4933166503906,46.73731994628906,113.37570190429688
2023-12-01,189.2737274169922,612.469970703125,147.02999877929688,256.8788757324219,130.77911376953125,43.16194152832031,322.5667724609375,368.1678161621094,46.732322692871094,114.30252838134766
2023-12-04,187.48231506347656,604.5599975585938,144.83999633789062,247.6510009765625,128.21035766601562,41.790306091308594,317.8000183105469,362.8887634277344,45.478187561035156,112.9561767578125
2023-12-05,191.43128967285156,602.219970703125,146.8800048828125,248.0066680908203,129.916259765625,41.365989685058594,316.08209228515625,366.2115173339844,46.53755187988281,111.7366714477539
2023-12-06,190.3426055908203,595.7000122070312,144.52000427246094,246.13934326171875,128.95419311523438,40.72458267211914,315.24786376953125,362.55450439453125,45.475196838378906,109.29763793945312
2023-12-07,192.2725830078125,608.780029296875,146.8800048828125,245.86268615722656,135.80755615234375,41.592952728271484,324.3244934082031,364.6681213378906,46.567535400390625,110.11715698242188
2023-12-08,193.69775390625,610.010009765625,147.4199981689453,247.79917907714844,133.8834686279297,42.135684967041016,330.4418029785156,367.892578125,47.47697830200195,110.83910369873047
2023-12-11,191.19378662109375,625.2000122070312,145.88999938964844,249.07369995117188,132.19737243652344,43.95136642456055,323.0235595703125,365.01214599609375,46.59851837158203,112.32203674316406
2023-12-12,192.70806884765625,633.6599731445312,147.47999572753906,253.37147521972656,131.43370056152344,43.457977294921875,331.90155029296875,368.0400390625,47.62789535522461,98.3512954711914
2023-12-13,195.92466735839844,624.260009765625,148.83999633789062,254.23104858398438,131.48329162597656,43.9809684753418,332.4179382324219,368.03021240234375,48.058624267578125,100.4781265258789
2023-12-14,196.0731201171875,584.6400146484375,147.4199981689453,254.12234497070312,130.8584442138672,44.582908630371094,330.8589172363281,359.7331237792969,48.32046127319336,97.86348724365234
2023-12-15,195.5386505126953,584.6799926757812,149.97000122070312,258.45965576171875,131.51307678222656,45.549957275390625,332.59674072265625,364.4517822265625,48.86012649536133,100.8000717163086
2023-12-18,193.8759002685547,599.1300048828125,154.07000732421875,260.42572021484375,134.6868133544922,45.08616638183594,342.22943115234375,366.33929443359375,50.046409606933594,102.4390869140625
2023-12-19,194.91513061523438,604.6400146484375,153.7899932861328,261.166748046875,135.52984619140625,46.04335021972656,347.9295959472656,366.9389953613281,49.573692321777344,103.65860748291016
2023-12-20,192.82684326171875,596.0599975585938,152.1199951171875,257.1258239746094,137.2059783935547,45.15523910522461,346.8570556640625,364.34368896484375,48.081607818603516,101.60983276367188
2023-12-21,192.67835998535156,600.1400146484375,153.83999633789062,264.0418395996094,139.26895141601562,46.457801818847656,351.63372802734375,367.2142333984375,48.9600715637207,103.27812957763672
2023-12-22,191.60946655273438,598.75,153.4199981689453,263.1427001953125,140.33018493652344,47.365638732910156,350.9385986328125,368.2366027832031,48.8001708984375,103.6098403930664
2023-12-26,191.06512451171875,598.260009765625,153.41000366210938,263.02423095703125,140.3599395751953,49.83259963989258,352.36859130859375,368.3152770996094,49.24889373779297,103.6000747680664
